Command: /home/lorenzo9/Documents/ChipForge/fib/sim/sim/./top_tb -l simulation.log
Chronologic VCS simulator copyright 1991-2024
Contains Synopsys proprietary information.
Compiler version W-2024.09_Full64; Runtime version W-2024.09_Full64;  Feb 24 17:12 2025
Time: 0 | fib_out: x
Time: 2 | fib_out: 1
Time: 10 | fib_out: 2
Time: 14 | fib_out: 3
Time: 18 | fib_out: 5
Time: 22 | fib_out: 8
Time: 26 | fib_out: 13
Time: 30 | fib_out: 21
Time: 34 | fib_out: 34
Time: 38 | fib_out: 55
Time: 42 | fib_out: 89
Time: 46 | fib_out: 144
Time: 50 | fib_out: 233
Time: 54 | fib_out: 377
Time: 58 | fib_out: 610
Time: 62 | fib_out: 987
Time: 66 | fib_out: 1597
Time: 70 | fib_out: 2584
Time: 74 | fib_out: 4181
Time: 78 | fib_out: 6765
Time: 82 | fib_out: 10946
Time: 86 | fib_out: 17711
Time: 90 | fib_out: 28657
Time: 94 | fib_out: 46368
Time: 98 | fib_out: 75025
Time: 102 | fib_out: 121393
Time: 106 | fib_out: 196418
Time: 110 | fib_out: 317811
Time: 114 | fib_out: 514229
Time: 118 | fib_out: 832040
Time: 122 | fib_out: 1346269
Time: 126 | fib_out: 2178309
Time: 130 | fib_out: 3524578
Time: 134 | fib_out: 5702887
Time: 138 | fib_out: 9227465
Time: 142 | fib_out: 14930352
Time: 146 | fib_out: 24157817
Time: 150 | fib_out: 39088169
Time: 154 | fib_out: 63245986
Time: 158 | fib_out: 102334155
Time: 162 | fib_out: 165580141
Time: 166 | fib_out: 267914296
Time: 170 | fib_out: 433494437
Time: 174 | fib_out: 701408733
Time: 178 | fib_out: 1134903170
Time: 182 | fib_out: 1836311903
Time: 186 | fib_out: 2971215073
Time: 190 | fib_out: 4807526976
Time: 194 | fib_out: 7778742049
Time: 198 | fib_out: 12586269025
Time: 202 | fib_out: 20365011074
Time: 206 | fib_out: 32951280099
Time: 210 | fib_out: 53316291173
Time: 214 | fib_out: 86267571272
Time: 218 | fib_out: 139583862445
Time: 222 | fib_out: 225851433717
Time: 226 | fib_out: 365435296162
Time: 230 | fib_out: 591286729879
Time: 234 | fib_out: 956722026041
Time: 238 | fib_out: 1548008755920
Time: 242 | fib_out: 2504730781961
Time: 246 | fib_out: 4052739537881
Time: 250 | fib_out: 6557470319842
Time: 254 | fib_out: 10610209857723
Time: 258 | fib_out: 17167680177565
